molecule_chembl_id,canonical_smiles,pIC50,MW,LogP,TPSA
CHEMBL4869090,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4cc5c(nn4)OCCS5)CO3)c2c1,4.251811972993799,488.5410000000003,2.0916999999999994,107.85000000000001
CHEMBL4863169,Cc1[nH]c(C(=O)Nc2nc3ccc(C(N)=O)cc3s2)c(Cl)c1Cl,4.229147988357856,369.23300000000006,3.590820000000001,100.87
CHEMBL4867964,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc5c(c4)OCCO5)CO3)c2n1,4.221848749616356,471.4850000000003,1.9833999999999998,104.19000000000001
CHEMBL4755744,COc1ccc2nccc(CC[C@H]3OC[C@H](NC(=O)c4ccc5c(c4)NC(=O)CO5)CO3)c2c1,4.221848749616356,463.49000000000024,2.678400000000001,108.01000000000002
CHEMBL4869929,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4cc5c(cn4)OCC(=O)N5)CO3)c2n1,4.214670164989233,485.47200000000026,0.9380999999999998,136.95000000000002
CHEMBL4862321,Cc1[nH]c(C(=O)Nc2nc3cc(O)c(C(=O)O)cc3s2)c(Cl)c1Cl,4.214670164989233,386.2160000000001,3.8957200000000007,115.31000000000002
CHEMBL4877359,COc1ccc2ncc(F)c(C(O)C[C@H]3OC[C@H](NCc4ccc5c(c4)OCCO5)CO3)c2c1,4.1938200260161125,470.4970000000003,3.108500000000001,91.30000000000001
CHEMBL5590983,COc1ccc2ncc(F)c(CCN3CCC([C@H](O)[C@H](O)c4ccc(C)cc4)CC3)c2n1,4.187086643357144,439.5310000000002,3.4349200000000026,78.71000000000001
CHEMBL6273,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,4.164309428507575,369.3430000000002,1.6991999999999998,65.78
CHEMBL4857022,Cc1[nH]c(C(=O)Nc2nc3ccc(C(=O)NCCC(=O)O)cc3s2)c(Cl)c1Cl,4.1487416512809245,441.29600000000016,3.6964200000000016,124.17999999999999
CHEMBL4873935,Cc1[nH]c(C(=O)Nc2nc3ccc(C(=O)O)cc3s2)c(Cl)c1Cl,4.142667503568732,370.2170000000001,4.190120000000001,95.08
CHEMBL192226,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(/C=C\F)c3c2F)CC1,4.141462802430361,367.3270000000001,2.1274000000000006,65.78
CHEMBL4867350,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc5c(n4)NC(=O)CO5)CO3)c2c1,4.075720713938118,484.48400000000026,1.5430999999999995,124.06
CHEMBL4873479,COc1ccc2nccc(CCN3CCC(NCc4cc(F)c(Br)c(F)c4)CC3)c2n1,4.060480747381382,491.3800000000001,4.475800000000004,50.28
CHEMBL4848487,COc1ccc2ccc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc5c(n4)NC(=O)CO5)CO3)c2n1,4.022276394711152,484.48400000000026,1.5431000000000001,124.06000000000002
CHEMBL4856026,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4cc5c(cn4)OCS5)CO3)c2n1,4.00436480540245,474.51400000000024,2.0491999999999995,107.85000000000001
CHEMBL4229089,COc1ccc2nccc(CC[C@H]3OC[C@H](NCc4ccc5c(c4)OCCO5)CO3)c2c1,4.0,436.50800000000027,3.478500000000002,71.07000000000001
CHEMBL4876514,COc1ccc2ncc(F)c(C(O)C[C@H]3OC[C@H](NCc4ccc(C)cc4)CO3)c2c1,3.958607314841775,426.48800000000017,3.6457200000000025,72.84
CHEMBL4862813,COc1ccc2ccc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4cc5c(nn4)OCCS5)CO3)c2n1,3.9208187539523753,488.5410000000003,2.0917,107.85000000000001
CHEMBL458404,CCC(=O)O/N=C(/C)N1N=C(C)CC1c1ccccc1OCc1ccc(F)cc1,3.9030899869919438,397.45000000000016,4.8140000000000045,63.489999999999995
CHEMBL2424895,COc1ccc2nccc(OC[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,3.9030899869919438,467.5510000000002,2.7938,107.49000000000001
CHEMBL2424887,COc1ccc2nccc([C@@H](O)[C@H](O)[C@H]3CC[C@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,3.9030899869919438,497.5770000000003,1.8092999999999997,138.72
CHEMBL2424894,O=c1ccc2ccc(F)c3c2n1CC3CN1CCC(NCc2cc3c(cn2)OCCO3)CC1,3.9030899869919438,450.5140000000003,2.658200000000001,68.62
CHEMBL4085057,CCNC(=O)Nc1cc2c(-c3cnn(C)c3)ccc(C)c2cn1.Cl,3.9030899869919438,345.834,3.5069200000000023,71.84
CHEMBL4063428,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(-c3cccnc3)c2cn1,3.9030899869919438,369.42800000000005,4.500200000000003,79.8
CHEMBL2424891,COc1cnc2cccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2c1,3.9030899869919438,496.5890000000003,2.4143,125.83
CHEMBL2424882,COc1ccc2nccc(/C=C/[C@@H]3CC[C@@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,3.9030899869919438,434.49600000000027,3.1552000000000016,87.62
CHEMBL2424881,COc1ccc2nccc(/C=C/[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,3.9030899869919438,463.5630000000002,3.4282000000000012,98.26
CHEMBL2424873,COc1cnc2ccc(F)c([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,3.9030899869919438,486.5000000000003,1.6754,128.08
CHEMBL2424897,COc1ccc2nccc(NC(=O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,3.9030899869919438,480.5500000000003,2.3534999999999995,127.36000000000001
CHEMBL2424880,COc1ccc2nccc(C(O)C[C@@H]3CC[C@@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,3.9030899869919438,452.5110000000003,2.5655,107.85000000000002
CHEMBL4077461,CCNC(=O)Nc1cc2c(-c3cccnc3)ccc(C)c2cn1,3.9030899869919438,306.369,3.746620000000002,66.91
CHEMBL2424898,COc1ccc2nccc(NC(=O)[C@@H]3CC[C@@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,3.9030899869919438,451.48300000000035,2.0805,116.72000000000001
CHEMBL4759626,COc1ccc2nccc(CC[C@H]3OC[C@H](NC(=O)c4ccc5c(c4)NC(=O)CS5)CO3)c2c1,3.886056647693163,479.5580000000002,3.391700000000002,98.78000000000002
CHEMBL5284259,COc1ccc2ccc(F)c(CC(=O)N/N=C/c3ccc(F)cc3F)c2n1,3.853871964321762,373.334,3.353500000000002,63.58
CHEMBL4874489,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4cc5c(cn4)OCCC5)CO3)c2n1,3.853871964321762,470.5010000000003,1.9321999999999997,107.85000000000001
CHEMBL4846316,COc1ccc2ncc(F)c(C(O)C[C@H]3OC[C@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,3.7958800173440754,472.4730000000003,1.8984999999999996,117.08000000000001
CHEMBL4869986,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc(Cl)c(Cl)c4)CO3)c2n1,3.7958800173440754,482.33900000000017,3.519000000000001,85.73
CHEMBL4863171,COc1ccc2ncc(F)c(C(O)C[C@H]3OC[C@H](NCc4ccc(Cl)c(Cl)c4)CO3)c2c1,3.7958800173440754,481.35100000000017,4.6441000000000034,72.84
CHEMBL4868523,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc(C)cc4)CO3)c2n1,3.7958800173440754,427.47600000000017,2.52062,85.73
CHEMBL4537408,O=c1ccc2ncc(=O)n3c2n1CC3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,3.769551078621726,448.5270000000003,1.0870999999999995,94.28
CHEMBL4787145,COc1ccc2nccc(CC[C@H]3OC[C@H](NC(=O)c4ccc5c(n4)NC(=O)CS5)CO3)c2c1,3.769551078621726,480.5460000000002,2.7867000000000006,111.67
CHEMBL4847572,O=C(O)c1cc(O)c2nc(NC(=O)c3cc(Br)c(Br)[nH]3)sc2c1,3.769551078621726,461.091,3.8054999999999994,115.31
CHEMBL4879088,COc1ccc2nccc(CCN3CCC(NCc4cc(F)c(Cl)c(F)c4)CC3)c2n1,3.7644715530924513,446.9290000000001,4.366700000000003,50.28
CHEMBL5199813,COc1ccc2ncc(F)c(CCCN3CCN(C/C=C/c4ccccc4)C[C@@H]3C(=O)O)c2c1,3.721246399047171,463.55300000000017,4.099300000000003,65.9
CHEMBL4868908,COc1ccc2nccc(CCN3CCC(NCc4ccc(Br)c(F)c4)CC3)c2n1,3.705533773838407,473.3900000000001,4.336700000000004,50.28
CHEMBL5395597,COc1ccc2nccc(CCN3CCC(NC(=O)c4cc(F)c(Cl)c(F)c4)CC3)c2n1,3.657577319177794,460.91200000000015,4.006900000000003,67.35
CHEMBL4850745,COc1ccc2ncc(F)c(C(O)C[C@H]3OC[C@H](NCc4ccc(Cl)c(Cl)c4)CO3)c2n1,3.657577319177794,482.33900000000017,4.039100000000003,85.73
CHEMBL5171625,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NC(=O)c4ccc5c(c4)OCCO5)CO3)c2n1,3.6382721639824074,485.4680000000003,1.6236,121.26000000000002
CHEMBL5201666,O=c1ccc2ccc(F)c3c2n1CC3C[C@H]1OC[C@H](NCc2ccc3c(c2)OCCO3)CO1,3.6382721639824074,452.48200000000026,2.9304000000000006,70.95
CHEMBL4862136,COc1ccc2nccc(CCN3CCC(NCc4ccc(Cl)c(F)c4)CC3)c2n1,3.6270879970298933,428.9390000000001,4.227600000000003,50.28
CHEMBL5595242,COc1ccc2ncc(F)c(CCN3CCC(C(O)Cc4ccc(C)cc4)CC3)c2n1,3.619788758288394,423.5320000000002,3.9440200000000027,58.480000000000004
CHEMBL4792173,Cc1[nH]c(C(=O)Nc2ccc3nc(NC(=O)C(=O)O)sc3c2)c(Cl)c1Cl,3.6020599913279625,413.2420000000001,3.5150200000000007,124.17999999999999
CHEMBL2424835,COc1ccc2nccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2c1,3.6020599913279625,496.5890000000003,2.4143,125.83
CHEMBL4786782,Cc1[nH]c(C(=O)Nc2nc3ccc(NC(=O)CNC(=O)OC(C)(C)C)cc3s2)c(Cl)c1Cl,3.5850266520291822,498.3920000000003,4.9551200000000035,125.21
CHEMBL3759063,O=c1ccc2c(-c3cnc(-c4cccnc4)s3)n[nH]c2[nH]1,3.576754126063192,295.327,2.436699999999999,87.32
CHEMBL5207657,COc1ccc2ncc(F)c(/C=C\CN3CCN(CCSc4cccs4)C[C@@H]3C(=O)O)c2c1,3.552841968657781,487.62200000000024,4.320300000000003,65.9
